File Path,File Type,Priority,Reference Count,Reference Types,Specific Changes,Notes
/home/abuss/Work/devel/packmgr-go/go.mod,Module Config,CRITICAL,1,Module name,"github.com/yourusername/packmgr-go → github.com/yourusername/chisel-go",DO FIRST - Auto-updates all imports
/home/abuss/Work/devel/packmgr-go/.gitignore,Git Config,MEDIUM,1,Binary name,packmgr → chisel,Line 2
/home/abuss/Work/devel/packmgr-go/cmd/packmgr/,Directory,CRITICAL,1,Directory name,cmd/packmgr/ → cmd/chisel/,Rename directory
/home/abuss/Work/devel/packmgr-go/packmgr,Binary Executable,CRITICAL,1,Compiled binary,packmgr → chisel,Built from cmd/packmgr
/home/abuss/Work/devel/packmgr-go/cmd/packmgr/main.go,Go Source,HIGH,22,"Imports (8), Help text (14), Env vars (3), Paths (1)","packmgr → chisel, PACKMGR_* → CHISEL_*, /etc/packmgr → /etc/chisel","Most help text: lines 25,42,92,95,98,99,128,131,134,137,139,140,141,148. Env vars: 155,175,186"
/home/abuss/Work/devel/packmgr-go/pkg/config/config.go,Go Source,HIGH,5,"Comments (3), Hardcoded paths (2)","DefaultConfigPath: /etc/packmgr/config.json → /etc/chisel/config.json, Comments: packmgr → chisel","Line 1: package comment. Line 13: path. Lines 15,22,24: comments"
/home/abuss/Work/devel/packmgr-go/internal/cli/download.go,Go Source,MEDIUM,7,"Imports (3), Comments (1), Examples (3)","Import paths auto-update, Usage: packmgr → chisel","Lines 25,97,104-106"
/home/abuss/Work/devel/packmgr-go/internal/cli/remove.go,Go Source,MEDIUM,10,"Imports (3), Comments (1), Examples (6)","Import paths auto-update, Usage: packmgr → chisel","Lines 41,60,189,197,200,203,206"
/home/abuss/Work/devel/packmgr-go/internal/cli/install.go,Go Source,MEDIUM,8,"Imports (7), Comments (1)","Import paths auto-update, Usage: packmgr → chisel","Line 50"
/home/abuss/Work/devel/packmgr-go/internal/cli/info.go,Go Source,MEDIUM,4,"Imports (2), Comments (2)","Import paths auto-update, Comments: packmgr → chisel","Lines 1,11"
/home/abuss/Work/devel/packmgr-go/internal/cli/search.go,Go Source,MEDIUM,3,"Imports (2), Comments (1)","Import paths auto-update, Comments: packmgr → chisel","Lines 1,11"
/home/abuss/Work/devel/packmgr-go/internal/cli/sync.go,Go Source,MEDIUM,3,"Imports (2), Comments (1)","Import paths auto-update, Comments: packmgr → chisel","Lines 1,12"
/home/abuss/Work/devel/packmgr-go/internal/cli/extract.go,Go Source,MEDIUM,7,"Imports (2), Comments (1), Examples (4)","Import paths auto-update, Usage: packmgr → chisel","Lines 25,134,141-143"
/home/abuss/Work/devel/packmgr-go/pkg/store/store.go,Go Source,MEDIUM,2,"Imports (2)","Import paths auto-update","Line 12"
/home/abuss/Work/devel/packmgr-go/pkg/config/config_test.go,Test File,MEDIUM,5,"Test data (3), Assertions (2)","/opt/packmgr → /opt/chisel","Lines 143,157-158,162,167"
/home/abuss/Work/devel/packmgr-go/internal/cli/remove_test.go,Test File,MEDIUM,3,"Imports (3)","Import paths auto-update",""
/home/abuss/Work/devel/packmgr-go/pkg/alpm/alpm_test.go,Test File,LOW,5,"Temp dir names (5)","packmgr-* → chisel-*","Lines 16,227,256,490,535"
/home/abuss/Work/devel/packmgr-go/pkg/alpm/alpm_integration_test.go,Test File,LOW,2,"Temp dir names (2)","packmgr-* → chisel-*","Lines 23,219"
/home/abuss/Work/devel/packmgr-go/pkg/database/sync_test.go,Test File,LOW,10,"Temp dir names (10)","packmgr-* → chisel-*","Lines 40,77,109,156,190,211,237,275,290"
/home/abuss/Work/devel/packmgr-go/README.md,Documentation,HIGH,27,"Title (1), Intro (6), Examples (10), Config paths (2), Structure (1), Other (7)","Packmgr → Chisel, packmgr → chisel, /etc/packmgr → /etc/chisel","Lines 1,3,5,7,9,15,17,18,25,120,123,126,134,252,259,417"
/home/abuss/Work/devel/packmgr-go/00-SPECIFICATION.md,Documentation,HIGH,94,"Title, Intro, Examples, Comments, Paths, Commands","Comprehensive rename throughout entire specification","Largest documentation file - most changes needed"
/home/abuss/Work/devel/packmgr-go/docs/CONFIGURATION.md,Documentation,HIGH,45,"Config paths (4), Env vars (6), Examples (35)","PACKMGR_* → CHISEL_*, /etc/packmgr → /etc/chisel, packmgr commands","Configuration guide - high impact on users"
/home/abuss/Work/devel/packmgr-go/01-DIAGRAMS.md,Documentation,MEDIUM,13,"Diagrams (2), Comments (3), Examples (8)","Packmgr → Chisel, packmgr → chisel, project structure","Architecture diagrams"
/home/abuss/Work/devel/packmgr-go/02-CRITICAL-DECISIONS.md,Documentation,MEDIUM,17,"Comments (4), Examples (13)","packmgr → chisel, command examples","Design decision documentation"
/home/abuss/Work/devel/packmgr-go/03-IMPLEMENTATION-PLAN.md,Documentation,MEDIUM,27,"Title, Comments, Examples, Checklist","packmgr → chisel, command examples, setup guide","Implementation roadmap"
/home/abuss/Work/devel/packmgr-go/PHASE2-SUMMARY.md,Documentation,LOW,22,"Examples (22)","packmgr → chisel","Historical phase notes - lower priority"
/home/abuss/Work/devel/packmgr-go/PHASE3-UPDATE.md,Documentation,LOW,2,"Comments (2)","packmgr → chisel","Historical phase notes - lowest priority"
